split_index,seed,e_marginal_j_per_tflop,e_per_tb_j,p_overhead_w,heldout_workload,gt_tflops,est_tflops,signed_err_pct,abs_err_pct,split_max_abs_err_pct
0,1000,6.2285,5133.56,0.775,d256_b16_s256_L3,109.8438,113.5139,3.341,3.341,12.389
0,1000,6.2285,5133.56,0.775,d384_b16_s128_L3,101.1666,102.1196,0.942,0.942,12.389
0,1000,6.2285,5133.56,0.775,d384_b16_s128_L3_ff3072,124.2386,122.568,-1.345,1.345,12.389
0,1000,6.2285,5133.56,0.775,d384_b16_s128_L3_h8,101.1666,104.6369,3.43,3.43,12.389
0,1000,6.2285,5133.56,0.775,d384_b16_s256_L3,143.0224,143.1952,0.121,0.121,12.389
0,1000,6.2285,5133.56,0.775,d384_b8_s128_L6,113.3066,117.5436,3.739,3.739,12.389
0,1000,6.2285,5133.56,0.775,d512_b16_s256_L3,166.2152,145.6224,-12.389,12.389,12.389
1,1001,5.6514,4042.56,1.7125,d256_b8_s256_L3,87.3757,92.0423,5.341,5.341,6.287
1,1001,5.6514,4042.56,1.7125,d384_b16_s128_L3,101.1666,102.961,1.774,1.774,6.287
1,1001,5.6514,4042.56,1.7125,d384_b16_s256_L3,143.0224,144.3827,0.951,0.951,6.287
1,1001,5.6514,4042.56,1.7125,d512_b16_s128_L6,152.6861,147.1261,-3.641,3.641,6.287
1,1001,5.6514,4042.56,1.7125,d512_b16_s64_L6,145.9215,148.1961,1.559,1.559,6.287
1,1001,5.6514,4042.56,1.7125,d512_b16_s64_L6_sgd,145.9215,155.0963,6.287,6.287,6.287
1,1001,5.6514,4042.56,1.7125,d512_b8_s128_L3_ff4096,89.5098,86.7427,-3.091,3.091,6.287
2,1002,5.145,4637.81,1.8,d384_b16_s128_L3_ff3072,124.2386,125.4829,1.002,1.002,11.796
2,1002,5.145,4637.81,1.8,d512_b16_s256_L3,166.2152,146.6083,-11.796,11.796,11.796
2,1002,5.145,4637.81,1.8,d512_b16_s64_L6_sgd,145.9215,156.0675,6.953,6.953,11.796
2,1002,5.145,4637.81,1.8,d512_b8_s128_L3,82.705,81.9104,-0.961,0.961,11.796
2,1002,5.145,4637.81,1.8,d512_b8_s128_L3_h2,82.705,80.0474,-3.213,3.213,11.796
2,1002,5.145,4637.81,1.8,d640_b8_s128_L3_sgd,109.9243,115.4572,5.033,5.033,11.796
2,1002,5.145,4637.81,1.8,d640_b8_s64_L3,88.0804,80.3483,-8.778,8.778,11.796
3,1003,4.6589,1778.56,3.6,d256_b16_s256_L3,109.8438,117.4461,6.921,6.921,13.977
3,1003,4.6589,1778.56,3.6,d384_b16_s128_L3_ff3072,124.2386,122.5431,-1.365,1.365,13.977
3,1003,4.6589,1778.56,3.6,d384_b16_s128_L3_h8,101.1666,104.8213,3.613,3.613,13.977
