d_model,n_layers,n_heads,head_dim,d_ff,seq_len,batch,precision,optimizer,GT_TFLOPs,avg_util_pct,frontier_ge80
2048,6,16,128,8192,256,8,fp16,adamw,5192,98,yes
1024,6,8,128,4096,256,8,fp16,adamw,4099,97,yes
2048,6,16,128,8192,256,32,fp16,adamw,3801,99,yes
2048,6,16,128,8192,512,16,fp16,adamw,3611,99,yes
1024,3,8,128,4096,256,8,fp16,adamw,3610,96,yes
2048,6,16,128,8192,1024,8,fp16,adamw,3550,99,yes
1536,6,12,128,12288,512,16,fp16,adamw,3412,99,yes
768,6,8,96,3072,256,16,fp16,adamw,3378,97,yes
2048,6,16,128,8192,256,16,fp16,adamw,3375,98,yes
1536,6,12,128,12288,1024,8,fp16,adamw,3360,99,yes
1024,6,8,128,8192,512,32,fp16,adamw,3351,99,yes
1024,6,8,128,8192,1024,16,fp16,adamw,3232,99,yes
2048,6,16,128,8192,512,8,fp16,adamw,3175,98,yes
1024,12,4,256,4096,512,16,fp16,adamw,3143,99,yes
1024,6,8,128,8192,512,16,fp16,adamw,3129,98,yes
1536,12,12,128,6144,512,16,fp16,sgd,3058,98,yes
512,6,8,64,2048,256,16,fp16,adamw,3001,95,yes
1536,12,12,128,6144,512,8,fp16,adamw,2987,99,yes
1536,6,12,128,6144,512,32,fp16,adamw,2987,99,yes
1536,6,12,128,6144,256,32,fp16,adamw,2914,99,yes
512,3,8,64,2048,512,8,fp16,adamw,2904,94,yes
1536,6,12,128,6144,512,16,fp16,adamw,2881,99,yes
1536,12,12,128,6144,256,16,fp16,adamw,2862,98,yes
1024,12,8,128,4096,512,8,fp16,adamw,2858,98,yes
1536,16,12,128,6144,256,8,fp16,adamw,2827,98,yes
1024,6,8,128,8192,512,8,fp16,adamw,2821,98,yes
1024,6,8,128,8192,1024,8,fp16,adamw,2804,98,yes
1024,6,8,128,4096,256,32,fp16,adamw,2794,98,yes
1536,6,12,128,6144,1024,16,fp16,adamw,2792,99,yes
1024,12,8,128,4096,1024,16,fp16,sgd,2766,99,yes
1024,12,8,128,4096,256,16,fp16,adamw,2747,98,yes
